Project	Sustenance	Contributors	Usage	Quality	Community	Funding (INR)	Resources	Skills	Grant Year
fika lang	dead				NO	500000			2020
glific	YES: Operated under a non profit	YES	YES:100+ ngos	YES: just a whatsapp integration	YES: parent org is quiet involved 	1500000			2021
paperd.ink	SORT OF, they release limited boards and are preparing for their next launch	NO: the repo is not very active, and mostly the cofounders work on this	YES	YES: fairly known project	YES:actively volunteer and speak at events	1700000			2021
AdonisJS	YES: was dead for a while, but it looks like they've started working on it again. Also have a few sponsors	NO:1-2	YES	YES:popular	NO	600000			2021
Parseable	YES: VC funded company now	YES	YES	YES:popular	NO	1200000			2022
skytable	NO:single dev, work is slow	NO: work is happening in a private branch	YES:my guess is a few hundred users	UNSURE	NO	650000			2022
firefiles	NO: dead				NO	600000			2022
Bruno	YES: the company is doing well	YES: they're struggling to manage PRs :)	YES: very popular	YES: easily the biggest FOSS app in this space now	YES: very active 	500000
Rethink DNS	YES:for the next 2 years	NO: 0	YES: 5-10K / week on F-droid	YES: it's popular :-)	YES	3000000			2022 ,2024,2025
Project Segfault	UNSURE	NO:likely does not require many peopel	UNSURE	NO*	YES	20000			2025
Albony Mirror	NOT SURE	NO	YES: 20k/ day as of last year	YES	YES	50000			2025
Circuitverse	YES	YES:through GSOC	YES: used in tens of engineering colleges in and outside India!	YES	YES	100000			2025
Zasper	YES:maintainer now has a full time job, and is currently focussing on adoption instead of dev	NO:0	YES: starting to see usage, the juypter foundation may adopt thIS project		YES	900000			2025
Malhar	NO: paused development	NO: 0	NO : tried putting him in touch with companies that can use the project		NO	300000			2025
FLOSSboxin	NO:services stopping soon	NO: 0	UNSURE	NO*	YES	30000			2025
osvauld	NO:relying on our grant	NO: single dev	NO: too early		NO	400000			2026
subtitle studio	YES: community owned effort	NO: 0	YES: 5k downloads on play store		YES:recent grant	300000			2026
core stack	YES: external funders and active community	YES: ~5 + active dev community	YES 		YES	120000			2026
Data For India (open data work)	YES: operated under a for profit	NO: employees only AFAIK	YES: they are prominent in the data journalism space	YES: very high quality work	NO:recent grant	500000

Fellows/Maintainers
contrapunctus (OSM)	NO: relying on our grant	NA	NA	YES	YES	960000			2025, 2026
Aravinda VK	YES: has a full time job, but this grant will help him continue/restart work on some projects	NO:single dev	YES: massive!		YES: recent grant	600000			2026
