field,type,is_ascii,sum,min,max,range,sort_order,sortiness,min_length,max_length,sum_length,avg_length,stddev_length,variance_length,cv_length,mean,sem,geometric_mean,harmonic_mean,stddev,variance,cv,nullcount,n_negative,n_zero,n_positive,max_precision,sparsity
Project,String,true,,AdonisJS,osvauld,,Unsorted,-0.1034,6,56,630,21,14.6014,213.2,0.6953,,,,,,,,0,,,,,0
Project Type,String,true,,community / language infrastructure,public-interest nonprofit,,Unsorted,0.3103,7,51,662,22.0667,12.1571,147.7956,0.5509,,,,,,,,0,,,,,0
Official FOSS United Source URL,String,true,,https://fossunited.org/blog/grants/2025-grants-recap,https://fossunited.org/grants/projects; https://fossunited.org/fosshack/results,,Unsorted,0.5172,38,139,1693,56.4333,29.8459,890.7789,0.5289,,,,,,,,0,,,,,0
Project URL,String,true,,https://adonisjs.com/,https://zasper.io/,,Unsorted,0,0,75,770,25.6667,16.9575,287.5556,0.6607,,,,,,,,3,,,,,0.1
Repo URL,String,true,,https://git.flossboxin.org.in/,https://github.com/zasper-io/zasper,,Unsorted,0.1304,0,88,1007,33.5667,22.3199,498.1789,0.6649,,,,,,,,6,,,,,0.2
Grant Evidence,String,true,,2025 recap lists Ente@FOSDEM INR 100000 travel grant to showcase Ente at FOSS United exhibit booth at FOSDEM 2026.,Official project page lists Sayan Nandan INR 60000 in 2021 and INR 650000 in 2022 for Skytable.,,Unsorted,-0.1034,44,153,2583,86.1,30.9584,958.4233,0.3596,,,,,,,,0,,,,,0
Sustenance Evidence,String,true,,Active product/project; independent revenue not found.,Volunteer-run services; GitLab hosting says sponsored by Infomaniak and previously GitLab Inc.,,Unsorted,0.0345,37,172,2220,74,23.6728,560.4,0.3199,,,,,,,,0,,,,,0
Contributor Evidence,String,true,,"13 contributors visible on GitHub, but repeat recent contributor evidence not checked.","Volunteer-run, but public evidence does not quantify repeat organizers across time.",,Unsorted,-0.1034,45,114,2425,80.8333,19.0772,363.9389,0.236,,,,,,,,0,,,,,0
Usage Evidence,String,true,,@adonisjs/core has hundreds of thousands of monthly npm downloads; production users listed in FAQ.,"Weekly calls, PoCs and integration goals show visible but early adoption surface.",,Unsorted,-0.0345,31,111,2426,80.8667,17.8433,318.3822,0.2207,,,,,,,,0,,,,,0
Quality Evidence,String,true,,"AGPL edition, docs, roadmap/radar and active repo.",Upstream role in distros and Indic language tooling.,,Unsorted,-0.0345,35,130,2102,70.0667,18.0996,327.5956,0.2583,,,,,,,,0,,,,,0
Community Evidence,String,true,,"Community channels include IRC, XMPP, Matrix and email; initiatives include Privacy Yathra and Software Freedom Camp.",Season of Commits created a structured contribution path.,,Unsorted,-0.0345,31,117,1859,61.9667,17.3906,302.4322,0.2806,,,,,,,,0,,,,,0
Resources Evidence,String,true,,2022 grant specifically funded Tinkerspace physical hacker/tinkerer/community space.,Ubucon India exhibit-booth support documented.,,Unsorted,0.1724,31,88,1376,45.8667,14.4193,207.9156,0.3144,,,,,,,,0,,,,,0
Skills Evidence,String,true,,C++/LLVM backend work and benchmarking were funded skills/output.,Workshops onboard contributors to OSM.,,Unsorted,0.0345,33,75,1347,44.9,9.5859,91.89,0.2135,,,,,,,,0,,,,,0
External Funding Evidence,String,true,,"Commercial revenue/users are external sustenance evidence, excluded from Funding (INR).",Zerodha co-sponsorship is official record; included in FOSS-administered amount.,,Unsorted,0.3103,11,105,1278,42.6,34.2214,1171.1067,0.8033,,,,,,,,0,,,,,0
As Of Date,String,true,,2026-05-15,2026-05-15,,Ascending,1,10,10,300,10,0,0,0,,,,,,,,0,,,,,0
Confidence,String,true,,High,Medium,,Unsorted,0.5862,3,6,149,4.9667,1.0483,1.0989,0.2111,,,,,,,,0,,,,,0
Reviewer Notes,String,true,,Clear infra-impact story; follow-up need is hardware/bandwidth/operator redundancy.,Would benefit from infra/security review and service usage metrics.,,Unsorted,0.0345,43,93,2190,73,12.8426,164.9333,0.1759,,,,,,,,0,,,,,0
