field,type,is_ascii,sum,min,max,range,sort_order,sortiness,min_length,max_length,sum_length,avg_length,stddev_length,variance_length,cv_length,mean,sem,geometric_mean,harmonic_mean,stddev,variance,cv,nullcount,n_negative,n_zero,n_positive,max_precision,sparsity
Project,String,true,,AdonisJS,Zasper,,Unsorted,-0.1579,6,39,304,15.2,10.1469,102.96,0.6676,,,,,,,,0,,,,,0
Project URL,String,true,,https://adonisjs.com/,https://zasper.io/,,Unsorted,-0.1111,0,65,462,23.1,11.4843,131.89,0.4972,,,,,,,,1,,,,,0.05
Repo URL,String,true,,https://git.flossboxin.org.in/,https://github.com/zasper-io/zasper,,Unsorted,0.0588,0,88,734,36.7,19.8925,395.71,0.542,,,,,,,,2,,,,,0.1
Grant Notes,String,true,,FOSS Hack 2020 grant: INR 500000,FOSS United project grants: INR 300000 in 2023 and INR 700000 in 2024 per grants page,,Unsorted,-0.2632,32,95,1251,62.55,20.2249,409.0475,0.3233,,,,,,,,0,,,,,0
Sustenance Evidence,String,true,,Active product/project; independent revenue not visible,Volunteer-run services; hosting sponsored by Infomaniak/GitLab historically,,Unsorted,0.0526,41,117,1227,61.35,15.6725,245.6275,0.2555,,,,,,,,0,,,,,0
Contributor Evidence,String,true,,"2.6k+ stars, 9 contributors; founder/lead developer visible",Team-run; source links visible; repeat contributor depth unclear,,Unsorted,0.0526,44,93,1373,68.65,13.2374,175.2275,0.1928,,,,,,,,0,,,,,0
Usage Evidence,String,true,,"25+ hosted services, privacy frontends, utilities and pubnix","Site claims 18000+ makers, 1000+ events and 5000+ projects",,Unsorted,-0.1579,54,90,1299,64.95,9.5628,91.4475,0.1472,,,,,,,,0,,,,,0
Quality Evidence,String,true,,"AGPL open-source edition; docs, roadmap/radar and active repo",Upstream role in distros; Indic Keyboard supports many languages/layouts,,Unsorted,0.1579,49,83,1298,64.9,8.4552,71.49,0.1303,,,,,,,,0,,,,,0
Community/Support Evidence,String,true,,"Discord, GitHub discussions, forum and package ecosystem","Sponsorship links, GitHub Sponsors, docs/community; FOSDEM showcase support reported in 2025 recap",,Unsorted,0.0526,35,98,1247,62.35,13.5398,183.3275,0.2172,,,,,,,,0,,,,,0
Reviewer,String,true,,Anand/public evidence,Anand/public evidence,,Ascending,1,21,21,420,21,0,0,0,,,,,,,,0,,,,,0
Confidence,String,true,,High,Medium,,Unsorted,0.6842,4,6,96,4.8,0.9798,0.96,0.2041,,,,,,,,0,,,,,0
