field,type,is_ascii,sum,min,max,range,sort_order,sortiness,min_length,max_length,sum_length,avg_length,stddev_length,variance_length,cv_length,mean,sem,geometric_mean,harmonic_mean,stddev,variance,cv,nullcount,n_negative,n_zero,n_positive,max_precision,sparsity
Project,String,true,,AdonisJS,Zasper,,Unsorted,-0.1579,6,39,304,15.2,10.1469,102.96,0.6676,,,,,,,,0,,,,,0
Sustenance,String,true,,No; FOSS United notes infra costs were personally covered while subscriptions/sponsors remain in progress,Yes; managed SaaS and open-source project under Tech4Dev ecosystem,,Unsorted,-0.0526,42,105,1205,60.25,12.2714,150.5875,0.2037,,,,,,,,0,,,,,0
Contributors,String,true,,Healthy; active org/repos and support ecosystem,"Unknown; volunteer surge during crisis, current contributor health unclear",,Unsorted,0.1579,47,89,1271,63.55,11.1601,124.5475,0.1756,,,,,,,,0,,,,,0
Usage,String,true,,High; 20k+ daily users and 200TB+ yearly traffic,"Moderate; public search, forge, paste, QR and related services",,Unsorted,-0.1579,41,80,1196,59.8,10.2548,105.16,0.1715,,,,,,,,0,,,,,0
Quality,String,true,,"Dormant; open hardware files exist, recent activity limited","Usable; status page, wiki, source links and transparency repo",,Unsorted,-0.2632,50,72,1223,61.15,6.4829,42.0275,0.106,,,,,,,,0,,,,,0
Community,String,true,,FOSS Hack grant,FOSS United project grants; maintainer network; FOSDEM showcase support,,Unsorted,0.1579,15,71,694,34.7,15.3202,234.71,0.4415,,,,,,,,0,,,,,0
Funding (INR),Integer,,26060000,20000,10950000,10930000,Unsorted,-0.0526,,,,,,,,1303000,522551.9591,465214.4959,137472.4107,2336923.4048,5461211000000,179.3495,0,0,0,20,,0
Resources,String,true,,FOSDEM travel/showcase support,"VPS, backups and operations support",,Unsorted,0.5789,10,79,387,19.35,17.0976,292.3275,0.8836,,,,,,,,0,,,,,0
Skills,String,true,,FOSS training program support,Unknown,,Unsorted,0.5789,7,41,247,12.35,10.8916,118.6275,0.8819,,,,,,,,0,,,,,0
Grant Year,String,true,,2020,2023; 2026,,Unsorted,0,4,16,88,4.4,3.8059,14.4852,0.865,,,,,,,,0,,,,,0
