School Name,Website URL,Persona Name,Persona Title,Contact Details,Source URL
Jakarta Intercultural School (JIS),https://www.jisedu.or.id/,Edward Wexler,High School Principal,"+62 21 509 89 555",https://www.jisedu.or.id/contact
British School Jakarta (BSJ),https://www.bsj.sch.id/,Phil Edwards,Interim Principal,"admissions@bsj.sch.id, +62 (21) 8082 8140",https://www.bsj.sch.id/about/leadership-team
British School Jakarta (BSJ),https://www.bsj.sch.id/,Joanne Osman,Head of Primary,"admissions@bsj.sch.id, +62 (21) 8082 8140",https://www.bsj.sch.id/about/leadership-team
British School Jakarta (BSJ),https://www.bsj.sch.id/,Daniel Harbridge,Interim Head of Secondary,"admissions@bsj.sch.id, +62 (21) 8082 8140",https://www.bsj.sch.id/about/leadership-team
ACG School Jakarta,https://www.acgedu.com/,Shawn Hutchinson,Principal,"acgjkt@acgedu.com, (62-21) 2978-0200",https://www.expat.or.id/orgs/schools.html
Sekolah Pelita Harapan (SPH),https://sph.edu/,Matthew Mann,Executive Director,"+62 21 7508700",https://sph.edu/about/
North Jakarta Intercultural School (NJIS),https://www.njis.org/,,Admissions Team,"admissions@njis.org, +62 21 4586 5222",https://www.njis.org/
Australian Independent School (AIS),https://www.ais-indonesia.com/,,Admissions Office,"jakarta@ais-indonesia.com, (62-21) 782-1141",https://www.expat.or.id/orgs/schools.html
Singapore Intercultural School Kelapa Gading,https://sisschools.org/sis-kg/,,Admissions Office,"admissions@sisschools.org, +62 21 460 8888",https://sisschools.org/contact-us/
Gandhi Memorial Intercontinental School (GMIS),https://www.gandhijkt.org/,,School Office,"+62 21 6586 5686",https://www.gandhijkt.org/
BPK Penabur Jakarta,https://bpkpenabur.or.id/,Merinda S.E. M.Pd.,Principal SDK 6 PENABUR,"pengurus@bpkpenabur.or.id, (021) 5606772-76",https://bpkpenabur.or.id/jakarta/sdk-6-penabur/tentang-kami/pimpinan-sekolah
Bina Bangsa School Jakarta,https://binabangsaschool.com/,,Admissions Office,"021 534 8378, 0811 100 6885",https://binabangsaschool.com/
IPEKA Christian School,https://ipeka.org/,,Admissions Office,"(021) 29669111",https://ipeka.org/contact-us/
IPEKA Integrated Christian School,https://iics.sch.id/,,Admissions Office,"(021) 29669111",https://iics.sch.id/
Sekolah HighScope Indonesia TB Simatupang,https://highscope.or.id/,,"School Office","info.tbs@highscope.or.id, (021) 7591 7888",https://highscope.or.id/en/contact/
Sekolah HighScope Indonesia Kelapa Gading,https://highscope.or.id/,,School Office,"+62 21 22134244",https://highscope.or.id/en/network-of-school/shi-kelapa-gading/5/
Sekolah HighScope Indonesia Alfa Indah,https://highscope.or.id/,,School Office,"(021) 5851575",https://highscope.or.id/en/network-of-school/shi-alfa-indah/4/
Raffles Christian School Pondok Indah,https://raffles-international.org/,,Admissions Office,"admission-pi@raffles-international.org, (021) 75903342",https://raffles-international.org/contact/contact-us/
Raffles Christian School Kelapa Gading,https://raffles-international.org/,,Admissions Office,"admission-kg@raffles-international.org, (021) 4587 4222",https://raffles-international.org/contact/contact-us/
Raffles Christian School Kebon Jeruk,https://raffles-international.org/,,Admissions Office,"admission-kj@raffles-international.org, (021) 586 7548",https://raffles-international.org/contact/contact-us/
Mentari Intercultural School Jakarta,https://www.mentarischool.com/,,Admissions Office,"e.jakarta@mis.sch.id, +62813 8008 5383",https://www.mentarischool.com/contact
Mentari Intercultural School Bintaro,https://www.mentarischool.com/,,Admissions Office,"e.bintaro@mis.sch.id, +62818 0610 9567",https://www.mentarischool.com/contact
Global Sevilla School Pulo Mas,https://www.globalsevilla.org/,,Admissions Office,"(021) 4894 6969",https://www.globalsevilla.org/contactus
Global Sevilla School Puri Indah,https://www.globalsevilla.org/,,Admissions Office,"(021) 5835 1234",https://www.globalsevilla.org/contactus
Tunas Muda School,https://www.tunasmuda.sch.id/,,School Office,"(62-21) 587-0329",https://www.tunasmuda.sch.id/contact/
Sekolah Cikal Cilandak,https://www.cikal.co.id/,,Admissions Office,"+62 21 7590 2580, +62 818 902 570",https://www.cikal.co.id/site?id=sekolah-cikal-cilandak
Sekolah Cikal Lebak Bulus,https://www.cikal.co.id/,,Admissions Office,"+62 818 902 570",https://www.cikal.co.id/
Sekolah Cikal Setu,https://www.cikal.co.id/,,Admissions Office,"+62 811 1156 599",https://www.cikal.co.id/
Sampoerna Academy Jakarta,https://www.sampoernaacademy.sch.id/,,Student Recruitment,"(021) 50 2222 34, 0813 3000 3002",https://www.sampoernaacademy.sch.id/
Deutsche Schule Jakarta,https://www.germanschooljakarta.id/,,School Office,"(021) 537 8188",https://www.germanschooljakarta.id/
ACS Jakarta,https://www.acsjakarta.sch.id/,,School Office,"(021) 8462345",https://www.acsjakarta.sch.id/
Sekolah Madania,https://www.madania.sch.id/,,School Office,"(021) 7908111",https://www.madania.sch.id/pages/contact-us_58
Global Jaya School,https://www.globaljaya.com/,,School Office,"(021) 7457562",https://www.globaljaya.com/
Jakarta Multicultural School (JMS),https://jms.sch.id/,,Admissions Office,"info@jimsch.org, +62 21 744 4864",https://jms.sch.id/contact-us/
Jakarta Nanyang School,https://jny.sch.id/,Mr. Lee Ting Jian,Head of School,"(021) 5379 2389",https://www.expat.or.id/orgs/schools.html
Jakarta Nanyang School,https://jny.sch.id/,Ms. Diah Ayu Putri Purbawati,Kindergarten Principal,"(021) 5379 2389",https://www.expat.or.id/orgs/schools.html
Jakarta Nanyang School,https://jny.sch.id/,Mr. Anjar Donny Prasetyo,Primary School Principal,"(021) 5379 2389",https://www.expat.or.id/orgs/schools.html
Jakarta Nanyang School,https://jny.sch.id/,Ms. Eliana Maria Setiawati,Secondary School Principal,"(021) 5379 2389",https://www.expat.or.id/orgs/schools.html
SMA Al-Azhar 1 Jakarta,https://sdia1.al-azhar.sch.id/,,School Office,"humas@al-azhar.or.id, (021) 7243934",https://www.al-azhar.or.id/
Al-Azhar Syifa Budi Jakarta,https://alazhar.syifabudi.sch.id/,,School Office,"(021) 7505555",https://alazhar.syifabudi.sch.id/
Azhari Islamic School,https://www.azhari.sch.id/,,School Office,"(021) 7659 8989",https://www.azhari.sch.id/
SMA Labschool Jakarta,https://labschool-unj.sch.id/,,School Office,"021-47860038",https://psb.labschool-unj.sch.id/
SMA Labschool Kebayoran,https://labschool-unj.sch.id/,,School Office,"(021) 7257367",https://labschool-unj.sch.id/
Regina Pacis Jakarta,https://reginapacis-jkt.sch.id/,,School Office,"(021) 5483456",https://reginapacis-jkt.sch.id/
Kolese Kanisius Jakarta,https://kanisius.edu/,,School Office,"(021) 3909009",https://id.wikipedia.org/wiki/Kolese_Kanisius
SMA Santa Ursula Jakarta,https://santaursula-jkt.sch.id/,,School Office,"(021) 3848182",https://tirto.id/sma-katolik-terbaik-di-jakarta-unggul-dan-berprestasi-hdo6
SMA Tarakanita 1 Jakarta,https://sma1.tarakanita.sch.id/,,School Office,"(021) 7256725",https://tirto.id/sma-katolik-terbaik-di-jakarta-unggul-dan-berprestasi-hdo6
Don Bosco Pondok Indah,https://donbosco.sch.id/,,School Office,"(021) 7506101",https://en.wikipedia.org/wiki/Don_Bosco_Pondok_Indah
SMA Don Bosco II Jakarta,https://donbosco2.sch.id/,L. Asri Indah Nursanti,Principal,"(021) 4896008",https://sekolah.data.kemendikdasmen.go.id/
Kampus Ursulin Santa Theresia,https://www.sttheresia-jkt.sch.id/,,School Office,"smk@sttheresia-jkt.sch.id, (021) 3907169",https://www.sttheresia-jkt.sch.id/
Methodist Charles Wesley School,https://home.methodistcw.sch.id/,,School Office,"0878 6912 3707",https://home.methodistcw.sch.id/
Sekolah Kristen Immanuel,https://ski.sch.id/,,School Office,"(021) 5666210",https://ski.sch.id/
SMA Kasih Immanuel,https://www.kasihimmanuelschool.com/,,School Office,"smakasihimmanuel@gmail.com, 02154393692",https://daftarsekolah.net/sekolah/2524/sma-kasih-immanuel
Santa Laurensia School,https://www.santa-laurensia.com/,,Admissions Office,"0858 2338 3615, (021) 737437",https://www.santa-laurensia.com/sutera/contact-us/
Sekolah Athalia,https://athalia.sch.id/,,School Office,"(021) 5383866, 08777-1414-812",https://www.instagram.com/komunitassekolahathalia/
Sekolah Dian Harapan,https://www.sdh.sch.id/,,Admissions Office,"(021) 5460905",https://www.sdh.sch.id/admissions
Sinarmas World Academy,https://www.swa-jkt.com/,,Admissions Office,"admissions@swa-jkt.com, +62 21 5316 1400",https://www.swa-jkt.com/contact-us/
Sekolah Citra Kasih CitraGarden Jakarta,https://www.citrakasih.sch.id/,,School Office,"info.jakarta@citrakasih.sch.id, (021) 22556531",https://www.citraberkat.sch.id/contact-us/
Bunda Mulia School,https://bundamulia.sch.id/,,School Office,"info@bundamulia.sch.id, (62-21) 690-9742",https://bundamulia.sch.id/contact
Mawar Sharon Christian School,https://mscs.sch.id/,,Admissions Office,"0856 0456 2220",https://mscs.sch.id/web/
Stella Maris School Gading Serpong,https://stella-maris.sch.id/,,Admissions Office,"0813 8953 5377, +62 21 54 212 999",https://stella-maris.sch.id/contact-us/
Stella Maris School Kemayoran,https://stella-maris.sch.id/,,School Office,"+62 21 65310999",https://stella-maris.sch.id/contact-us/
Kinderfield-Highfield School Tebet,https://kinderfieldhighfield.sch.id/,,School Office,"tebet@kinderfield.sch.id, (021) 8303209",https://kinderfieldhighfield.sch.id/contact-us
Kinderfield-Highfield School Cinere,https://kinderfieldhighfield.sch.id/,,School Office,"cinere@kinderfield.sch.id, (021) 7545190",https://kinderfieldhighfield.sch.id/contact-us
Kinderfield-Highfield School Cibubur,https://kinderfieldhighfield.sch.id/,,School Office,"cibubur@kinderfield.sch.id, (021) 91213820",https://kinderfieldhighfield.sch.id/contact-us
Kinderfield-Highfield School Simprug,https://kinderfieldhighfield.sch.id/,,School Office,"simprug@kinderfield.sch.id, (021) 58901100",https://kinderfieldhighfield.sch.id/contact-us
Kinderfield-Highfield School Puri,https://kinderfieldhighfield.sch.id/,,School Office,"puri@kinderfield.sch.id, (021) 22544145",https://kinderfieldhighfield.sch.id/contact-us
Kinderfield-Highfield School Sunter,https://kinderfieldhighfield.sch.id/,,School Office,"sunter@kinderfield.sch.id, (021) 22653865",https://kinderfieldhighfield.sch.id/contact-us
Embun Pagi Islamic School,https://embunpagi.sch.id/,,School Office,"(021) 8621234",https://embunpagi.sch.id/
Tzu Chi School Jakarta,https://tzuchi.sch.id/,,School Office,"(021) 56965555",https://tzuchi.sch.id/contact-us/
Sekolah Victory Plus (SVP),https://svp.sch.id/,,School Office,"(021) 8243628",https://svp.sch.id/contact-us/
Ekayana Dharma Budhi Bhakti,https://dharmabudhibhakti.sch.id/,,School Office,"ykdbi_dbb@yahoo.com, 021-640 4405",https://dharmabudhibhakti.sch.id/
