word,dominant_letter,count,total,percentage,adjusted_score,z_score
mmmm,m,4,4,100.0,1.923,10.0
oooo,o,4,4,100.0,1.923,10.0
bibb,b,3,4,75.0,1.423,7.4
brrr,r,3,4,75.0,1.423,7.4
dedd,d,3,4,75.0,1.423,7.4
dodd,d,3,4,75.0,1.423,7.4
epee,e,3,4,75.0,1.423,7.4
faff,f,3,4,75.0,1.423,7.4
feff,f,3,4,75.0,1.423,7.4
fuff,f,3,4,75.0,1.423,7.4
gegg,g,3,4,75.0,1.423,7.4
ieee,e,3,4,75.0,1.423,7.4
iiwi,i,3,4,75.0,1.423,7.4
lall,l,3,4,75.0,1.423,7.4
lill,l,3,4,75.0,1.423,7.4
loll,l,3,4,75.0,1.423,7.4
lull,l,3,4,75.0,1.423,7.4
mumm,m,3,4,75.0,1.423,7.4
sass,s,3,4,75.0,1.423,7.4
sess,s,3,4,75.0,1.423,7.4
siss,s,3,4,75.0,1.423,7.4
soss,s,3,4,75.0,1.423,7.4
suss,s,3,4,75.0,1.423,7.4
viii,i,3,4,75.0,1.423,7.4
xiii,i,3,4,75.0,1.423,7.4
zizz,z,3,4,75.0,1.423,7.4
assess,s,4,6,66.67,1.539,8.002
beebee,e,4,6,66.67,1.539,8.002
booboo,o,4,6,66.67,1.539,8.002
boohoo,o,4,6,66.67,1.539,8.002
coccic,c,4,6,66.67,1.539,8.002
cooboo,o,4,6,66.67,1.539,8.002
dodded,d,4,6,66.67,1.539,8.002
eebree,e,4,6,66.67,1.539,8.002
geejee,e,4,6,66.67,1.539,8.002
gooroo,o,4,6,66.67,1.539,8.002
hoodoo,o,4,6,66.67,1.539,8.002
hoopoo,o,4,6,66.67,1.539,8.002
hooroo,o,4,6,66.67,1.539,8.002
jeetee,e,4,6,66.67,1.539,8.002
kakkak,k,4,6,66.67,1.539,8.002
koodoo,o,4,6,66.67,1.539,8.002
muumuu,u,4,6,66.67,1.539,8.002
peewee,e,4,6,66.67,1.539,8.002
pookoo,o,4,6,66.67,1.539,8.002
sasses,s,4,6,66.67,1.539,8.002
seesee,e,4,6,66.67,1.539,8.002
seewee,e,4,6,66.67,1.539,8.002
soosoo,o,4,6,66.67,1.539,8.002
teepee,e,4,6,66.67,1.539,8.002
teetee,e,4,6,66.67,1.539,8.002
teevee,e,4,6,66.67,1.539,8.002
tooroo,o,4,6,66.67,1.539,8.002
toozoo,o,4,6,66.67,1.539,8.002
veepee,e,4,6,66.67,1.539,8.002
voodoo,o,4,6,66.67,1.539,8.002
weewee,e,4,6,66.67,1.539,8.002
woodoo,o,4,6,66.67,1.539,8.002
woohoo,o,4,6,66.67,1.539,8.002
zoozoo,o,4,6,66.67,1.539,8.002
assesses,s,5,8,62.5,1.659,8.627
mohoohoo,o,5,8,62.5,1.659,8.627
oronooko,o,5,8,62.5,1.659,8.627
swissess,s,5,8,62.5,1.659,8.627
abaca,a,3,5,60.0,1.256,6.529
abada,a,3,5,60.0,1.256,6.529
abaka,a,3,5,60.0,1.256,6.529
abama,a,3,5,60.0,1.256,6.529
acana,a,3,5,60.0,1.256,6.529
acara,a,3,5,60.0,1.256,6.529
adapa,a,3,5,60.0,1.256,6.529
addda,d,3,5,60.0,1.256,6.529
added,d,3,5,60.0,1.256,6.529
afara,a,3,5,60.0,1.256,6.529
agada,a,3,5,60.0,1.256,6.529
agama,a,3,5,60.0,1.256,6.529
agata,a,3,5,60.0,1.256,6.529
ajaja,a,3,5,60.0,1.256,6.529
ajava,a,3,5,60.0,1.256,6.529
akala,a,3,5,60.0,1.256,6.529
akasa,a,3,5,60.0,1.256,6.529
alada,a,3,5,60.0,1.256,6.529
alala,a,3,5,60.0,1.256,6.529
alapa,a,3,5,60.0,1.256,6.529
allyl,l,3,5,60.0,1.256,6.529
amaas,a,3,5,60.0,1.256,6.529
amaga,a,3,5,60.0,1.256,6.529
amala,a,3,5,60.0,1.256,6.529
amapa,a,3,5,60.0,1.256,6.529
amara,a,3,5,60.0,1.256,6.529
anama,a,3,5,60.0,1.256,6.529
anana,a,3,5,60.0,1.256,6.529
anasa,a,3,5,60.0,1.256,6.529
apama,a,3,5,60.0,1.256,6.529
araba,a,3,5,60.0,1.256,6.529
araca,a,3,5,60.0,1.256,6.529
arara,a,3,5,60.0,1.256,6.529
araua,a,3,5,60.0,1.256,6.529
arawa,a,3,5,60.0,1.256,6.529
asana,a,3,5,60.0,1.256,6.529
asses,s,3,5,60.0,1.256,6.529
assis,s,3,5,60.0,1.256,6.529
babby,b,3,5,60.0,1.256,6.529
beele,e,3,5,60.0,1.256,6.529
beeve,e,3,5,60.0,1.256,6.529
belee,e,3,5,60.0,1.256,6.529
besee,e,3,5,60.0,1.256,6.529
bibby,b,3,5,60.0,1.256,6.529
bibbs,b,3,5,60.0,1.256,6.529
bobby,b,3,5,60.0,1.256,6.529
bubba,b,3,5,60.0,1.256,6.529
bubby,b,3,5,60.0,1.256,6.529
caaba,a,3,5,60.0,1.256,6.529
caama,a,3,5,60.0,1.256,6.529
cabaa,a,3,5,60.0,1.256,6.529
cecca,c,3,5,60.0,1.256,6.529
cocci,c,3,5,60.0,1.256,6.529
cocco,c,3,5,60.0,1.256,6.529
daddy,d,3,5,60.0,1.256,6.529
deddy,d,3,5,60.0,1.256,6.529
diddy,d,3,5,60.0,1.256,6.529
doddy,d,3,5,60.0,1.256,6.529
duddy,d,3,5,60.0,1.256,6.529
eeler,e,3,5,60.0,1.256,6.529
eerie,e,3,5,60.0,1.256,6.529
eeten,e,3,5,60.0,1.256,6.529
eleme,e,3,5,60.0,1.256,6.529
eleve,e,3,5,60.0,1.256,6.529
emcee,e,3,5,60.0,1.256,6.529
emeer,e,3,5,60.0,1.256,6.529
epees,e,3,5,60.0,1.256,6.529
error,r,3,5,60.0,1.256,6.529
esere,e,3,5,60.0,1.256,6.529
essee,e,3,5,60.0,1.256,6.529
esses,s,3,5,60.0,1.256,6.529
etwee,e,3,5,60.0,1.256,6.529
evene,e,3,5,60.0,1.256,6.529
evese,e,3,5,60.0,1.256,6.529
exede,e,3,5,60.0,1.256,6.529
faffy,f,3,5,60.0,1.256,6.529
feere,e,3,5,60.0,1.256,6.529
feeze,e,3,5,60.0,1.256,6.529
feoff,f,3,5,60.0,1.256,6.529
filii,i,3,5,60.0,1.256,6.529
flaff,f,3,5,60.0,1.256,6.529
fluff,f,3,5,60.0,1.256,6.529
fuffy,f,3,5,60.0,1.256,6.529
geese,e,3,5,60.0,1.256,6.529
gelee,e,3,5,60.0,1.256,6.529
gigge,g,3,5,60.0,1.256,6.529
glogg,g,3,5,60.0,1.256,6.529
gogga,g,3,5,60.0,1.256,6.529
gregg,g,3,5,60.0,1.256,6.529
heeze,e,3,5,60.0,1.256,6.529
indii,i,3,5,60.0,1.256,6.529
kaaba,a,3,5,60.0,1.256,6.529
kaama,a,3,5,60.0,1.256,6.529
kakke,k,3,5,60.0,1.256,6.529
keeve,e,3,5,60.0,1.256,6.529
kikki,k,3,5,60.0,1.256,6.529
lally,l,3,5,60.0,1.256,6.529
lalls,l,3,5,60.0,1.256,6.529
leese,e,3,5,60.0,1.256,6.529
levee,e,3,5,60.0,1.256,6.529
lilly,l,3,5,60.0,1.256,6.529
lolly,l,3,5,60.0,1.256,6.529
lolls,l,3,5,60.0,1.256,6.529
lully,l,3,5,60.0,1.256,6.529
lulls,l,3,5,60.0,1.256,6.529
maana,a,3,5,60.0,1.256,6.529
mamma,m,3,5,60.0,1.256,6.529
mammy,m,3,5,60.0,1.256,6.529
meece,e,3,5,60.0,1.256,6.529
meese,e,3,5,60.0,1.256,6.529
melee,e,3,5,60.0,1.256,6.529
momma,m,3,5,60.0,1.256,6.529
momme,m,3,5,60.0,1.256,6.529
mommy,m,3,5,60.0,1.256,6.529
mummy,m,3,5,60.0,1.256,6.529
mumms,m,3,5,60.0,1.256,6.529
nanny,n,3,5,60.0,1.256,6.529
neele,e,3,5,60.0,1.256,6.529
neese,e,3,5,60.0,1.256,6.529
neeze,e,3,5,60.0,1.256,6.529
ninny,n,3,5,60.0,1.256,6.529
ninon,n,3,5,60.0,1.256,6.529
nonny,n,3,5,60.0,1.256,6.529
nunni,n,3,5,60.0,1.256,6.529
odoom,o,3,5,60.0,1.256,6.529
oopod,o,3,5,60.0,1.256,6.529
oozoa,o,3,5,60.0,1.256,6.529
oromo,o,3,5,60.0,1.256,6.529
ovolo,o,3,5,60.0,1.256,6.529
pappi,p,3,5,60.0,1.256,6.529
pappy,p,3,5,60.0,1.256,6.529
pedee,e,3,5,60.0,1.256,6.529
peeke,e,3,5,60.0,1.256,6.529
peele,e,3,5,60.0,1.256,6.529
peeve,e,3,5,60.0,1.256,6.529
peppy,p,3,5,60.0,1.256,6.529
pewee,e,3,5,60.0,1.256,6.529
pippy,p,3,5,60.0,1.256,6.529
poppa,p,3,5,60.0,1.256,6.529
poppy,p,3,5,60.0,1.256,6.529
potoo,o,3,5,60.0,1.256,6.529
puppy,p,3,5,60.0,1.256,6.529
rarer,r,3,5,60.0,1.256,6.529
reese,e,3,5,60.0,1.256,6.529
reeve,e,3,5,60.0,1.256,6.529
reree,e,3,5,60.0,1.256,6.529
resee,e,3,5,60.0,1.256,6.529
sasse,s,3,5,60.0,1.256,6.529
sassy,s,3,5,60.0,1.256,6.529
seege,e,3,5,60.0,1.256,6.529
semee,e,3,5,60.0,1.256,6.529
sessa,s,3,5,60.0,1.256,6.529
sises,s,3,5,60.0,1.256,6.529
sissy,s,3,5,60.0,1.256,6.529
sissu,s,3,5,60.0,1.256,6.529
spass,s,3,5,60.0,1.256,6.529
spiss,s,3,5,60.0,1.256,6.529
stoss,s,3,5,60.0,1.256,6.529
stott,t,3,5,60.0,1.256,6.529
stuss,s,3,5,60.0,1.256,6.529
sussy,s,3,5,60.0,1.256,6.529
susso,s,3,5,60.0,1.256,6.529
swiss,s,3,5,60.0,1.256,6.529
taata,a,3,5,60.0,1.256,6.529
tatta,t,3,5,60.0,1.256,6.529
tatty,t,3,5,60.0,1.256,6.529
tehee,e,3,5,60.0,1.256,6.529
tepee,e,3,5,60.0,1.256,6.529
tetty,t,3,5,60.0,1.256,6.529
titty,t,3,5,60.0,1.256,6.529
totty,t,3,5,60.0,1.256,6.529
tutti,t,3,5,60.0,1.256,6.529
tutty,t,3,5,60.0,1.256,6.529
tutto,t,3,5,60.0,1.256,6.529
uhuru,u,3,5,60.0,1.256,6.529
ululu,u,3,5,60.0,1.256,6.529
uninn,n,3,5,60.0,1.256,6.529
uppop,p,3,5,60.0,1.256,6.529
urubu,u,3,5,60.0,1.256,6.529
urucu,u,3,5,60.0,1.256,6.529
urutu,u,3,5,60.0,1.256,6.529
waapa,a,3,5,60.0,1.256,6.529
weeze,e,3,5,60.0,1.256,6.529
wehee,e,3,5,60.0,1.256,6.529
xviii,i,3,5,60.0,1.256,6.529
xxiii,i,3,5,60.0,1.256,6.529
ahaaina,a,4,7,57.14,1.41,7.333
ayapana,a,4,7,57.14,1.41,7.333
akaakai,a,4,7,57.14,1.41,7.333
alabama,a,4,7,57.14,1.41,7.333
alcaaba,a,4,7,57.14,1.41,7.333
amalaka,a,4,7,57.14,1.41,7.333
anabata,a,4,7,57.14,1.41,7.333
anacara,a,4,7,57.14,1.41,7.333
apadana,a,4,7,57.14,1.41,7.333
arabana,a,4,7,57.14,1.41,7.333
aracana,a,4,7,57.14,1.41,7.333
assists,s,4,7,57.14,1.41,7.333
atalaya,a,4,7,57.14,1.41,7.333
avadana,a,4,7,57.14,1.41,7.333
avatara,a,4,7,57.14,1.41,7.333
beebees,e,4,7,57.14,1.41,7.333
beeweed,e,4,7,57.14,1.41,7.333
boobook,o,4,7,57.14,1.41,7.333
booboos,o,4,7,57.14,1.41,7.333
boohoos,o,4,7,57.14,1.41,7.333
cooboos,o,4,7,57.14,1.41,7.333
daddled,d,4,7,57.14,1.41,7.333
deedeed,e,4,7,57.14,1.41,7.333
diddled,d,4,7,57.14,1.41,7.333
doddard,d,4,7,57.14,1.41,7.333
eyebree,e,4,7,57.14,1.41,7.333
eyeseed,e,4,7,57.14,1.41,7.333
ejectee,e,4,7,57.14,1.41,7.333
electee,e,4,7,57.14,1.41,7.333
eveweed,e,4,7,57.14,1.41,7.333
exegete,e,4,7,57.14,1.41,7.333
freebee,e,4,7,57.14,1.41,7.333
gagging,g,4,7,57.14,1.41,7.333
geechee,e,4,7,57.14,1.41,7.333
genesee,e,4,7,57.14,1.41,7.333
gigging,g,4,7,57.14,1.41,7.333
hoodoos,o,4,7,57.14,1.41,7.333
hoopoos,o,4,7,57.14,1.41,7.333
koodoos,o,4,7,57.14,1.41,7.333
labaara,a,4,7,57.14,1.41,7.333
muumuus,u,4,7,57.14,1.41,7.333
nonnant,n,4,7,57.14,1.41,7.333
nunning,n,4,7,57.14,1.41,7.333
oloroso,o,4,7,57.14,1.41,7.333
oozooid,o,4,7,57.14,1.41,7.333
oronoco,o,4,7,57.14,1.41,7.333
oronoko,o,4,7,57.14,1.41,7.333
ottetto,t,4,7,57.14,1.41,7.333
pallall,l,4,7,57.14,1.41,7.333
peebeen,e,4,7,57.14,1.41,7.333
peepeye,e,4,7,57.14,1.41,7.333
peeweep,e,4,7,57.14,1.41,7.333
peewees,e,4,7,57.14,1.41,7.333
pizzazz,z,4,7,57.14,1.41,7.333
pokomoo,o,4,7,57.14,1.41,7.333
possess,s,4,7,57.14,1.41,7.333
potoroo,o,4,7,57.14,1.41,7.333
referee,e,4,7,57.14,1.41,7.333
rereeve,e,4,7,57.14,1.41,7.333
reveree,e,4,7,57.14,1.41,7.333
sassies,s,4,7,57.14,1.41,7.333
sissies,s,4,7,57.14,1.41,7.333
sooloos,o,4,7,57.14,1.41,7.333
spissus,s,4,7,57.14,1.41,7.333
swisses,s,4,7,57.14,1.41,7.333
teepees,e,4,7,57.14,1.41,7.333
veepees,e,4,7,57.14,1.41,7.333
voodoos,o,4,7,57.14,1.41,7.333
weeshee,e,4,7,57.14,1.41,7.333
weeweed,e,4,7,57.14,1.41,7.333
weewees,e,4,7,57.14,1.41,7.333
wowwows,w,4,7,57.14,1.41,7.333
zebedee,e,4,7,57.14,1.41,7.333
anapanapa,a,5,9,55.56,1.551,8.067
assassins,s,5,9,55.56,1.551,8.067
assessors,s,5,9,55.56,1.551,8.067
beekeeper,e,5,9,55.56,1.551,8.067
eyeleteer,e,5,9,55.56,1.551,8.067
nontannin,n,5,9,55.56,1.551,8.067
peeseweep,e,5,9,55.56,1.551,8.067
possesses,s,5,9,55.56,1.551,8.067
sassiness,s,5,9,55.56,1.551,8.067
sissiness,s,5,9,55.56,1.551,8.067
