year,date,song_title,movie,composer,singer,lyricist,youtube_id,youtube_title,duration,official,verified,downloaded,download_path,view_count,error
2026,2026-01-01,@SaiAbhyankkar Pavazha Malli (Music Video) Kayadu Shruti Haasan Vivek Thejo Thin,I,A.R. Rahman,A.R. Rahman; Others,Vairamakrishnan,b68HETiNO98,@SaiAbhyankkar - Pavazha Malli (Music Video) | Kayadu | Shruti Haasan | Vivek | Thejo | Think Indie,309.0,Y,N,Y,/home/vscode/code/research/tamil-music-history/songs/b68HETiNO98_SaiAbhyankkar - Pavazha Malli Music Video  Kayadu .%(ext)s,58890104,
2026,2026-01-01,Mutta Kalakki Music Video Youth Ken Karunaas Suraj Venjaramoodu GV Prakash Kumar,I,A.R. Rahman,A.R. Rahman; Others,Vairamakrishnan,jZEA2mMwL1k,Mutta Kalakki Music Video | Youth | Ken Karunaas | Suraj Venjaramoodu | GV Prakash Kumar,170.0,N,N,Y,/home/vscode/code/research/tamil-music-history/songs/jZEA2mMwL1k_Mutta Kalakki Music Video  Youth  Ken Karunaas  Su.%(ext)s,56726134,
2026,2026-01-01,Sirai Neelothi Video Song Vikram Prabhu L K Akshay Kumar Justin Prabhakaran Sure,I,A.R. Rahman,A.R. Rahman; Others,Vairamakrishnan,nMUmySghIL0,Sirai - Neelothi Video Song |Vikram Prabhu|L K Akshay Kumar| Justin Prabhakaran|Suresh R | 7 Screen,297.0,N,N,Y,/home/vscode/code/research/tamil-music-history/songs/nMUmySghIL0_Sirai - Neelothi Video Song Vikram PrabhuL K Aksha.%(ext)s,22379864,
2026,2026-01-01,Aura 10 10 Music Video Meesaya Murukku 2 Hiphop Tamizha Ketika Sharma,I,A.R. Rahman,A.R. Rahman; Others,Vairamakrishnan,Aze7zTyIRtk,Aura 10/10 - Music Video | Meesaya Murukku 2 | Hiphop Tamizha | Ketika Sharma,141.0,Y,N,Y,/home/vscode/code/research/tamil-music-history/songs/Aze7zTyIRtk_Aura 1010 - Music Video  Meesaya Murukku 2  Hiphop.%(ext)s,21871462,
2026,2026-01-01,Full Video: Kannumuzhi Mask Vetri Maaran GV Prakash Kumar Kavin Andrea J Ruhani ,Vetri,Viswanathan Ramamoorthy,T.M. Soundararajan,Kannadasan,edVZZ2w9Bkk,Full Video: Kannumuzhi | Mask | Vetri Maaran | GV Prakash Kumar | Kavin | Andrea J |Ruhani |Vikarnan,226.0,Y,N,Y,/home/vscode/code/research/tamil-music-history/songs/edVZZ2w9Bkk_Full Video Kannumuzhi  Mask  Vetri Maaran  GV Prak.%(ext)s,21603706,
2026,2026-01-01,"Nache Nache Video Song The RajaSaab (Tamil) Prabhas, Malavika M, Nidhhi A, Riddh",I,A.R. Rahman,A.R. Rahman; Others,Vairamakrishnan,_dgF3V0KK8E,"Nache Nache - Video Song | The RajaSaab (Tamil) | Prabhas, Malavika M, Nidhhi A, Riddhi K | Thaman S",213.0,Y,N,Y,/home/vscode/code/research/tamil-music-history/songs/_dgF3V0KK8E_Nache Nache - Video Song  The RajaSaab Tamil  Prab.%(ext)s,11660819,
2026,2026-01-01,Jana Nayagan Thalapathy Kacheri Lyric Video Thalapathy Vijay H Vinoth Anirudh Po,Nayagan,Ilaiyaraaja,S.P. Balasubrahmanyam,Vaali,m8pk_gODCwM,Jana Nayagan – Thalapathy Kacheri Lyric Video| Thalapathy Vijay| H Vinoth| Anirudh| Pooja Hegde| KVN,202.0,Y,N,Y,/home/vscode/code/research/tamil-music-history/songs/m8pk_gODCwM_Jana Nayagan  Thalapathy Kacheri Lyric Video Thala.%(ext)s,10989258,
2026,2026-01-01,Marandhu Poche Video Song With Love Abishan Jeevinth Anaswara Rajan Madhan Sean ,I,A.R. Rahman,A.R. Rahman; Others,Vairamakrishnan,H0UDxfrKZY4,Marandhu Poche – Video Song | With Love | Abishan Jeevinth | Anaswara Rajan | Madhan | Sean Roldan,198.0,Y,N,Y,/home/vscode/code/research/tamil-music-history/songs/H0UDxfrKZY4_Marandhu Poche  Video Song  With Love  Abishan Jee.%(ext)s,7261223,
2026,2026-01-01,Adi Alaye Video Song Parasakthi Sivakarthikeyan Sreeleela Sudha Kongara G.V. Pra,Parasakthi,Viswanathan Ramamoorthy,T.M. Soundararajan,Kannadasan,MpkXUeZCk1Y,Adi Alaye - Video Song | Parasakthi | Sivakarthikeyan | Sreeleela | Sudha Kongara | G.V. Prakash,233.0,Y,N,Y,/home/vscode/code/research/tamil-music-history/songs/MpkXUeZCk1Y_Adi Alaye - Video Song  Parasakthi  Sivakarthikeya.%(ext)s,6044981,
2026,2026-01-01,Naanga Naalu Peru Lyric Video Karuppu Suriya RJB @SaiAbhyankkar Silambarasan TR ,I,A.R. Rahman,A.R. Rahman; Others,Vairamakrishnan,2Cf3e_G_IkQ,Naanga Naalu Peru Lyric Video | Karuppu | Suriya | RJB | @SaiAbhyankkar |Silambarasan TR|Asal Kolaar,208.0,Y,N,Y,/home/vscode/code/research/tamil-music-history/songs/2Cf3e_G_IkQ_Naanga Naalu Peru Lyric Video  Karuppu  Suriya  RJ.%(ext)s,4021812,
