clip_id,song_title,movie,year,decade,composer,singer,umap_1,umap_2
-08iMwFGroU_clip,"Pakka Gentlema Video Song in Super Police Movie 1989 Venkatesh, Soundarya Tamil ",I,1994,1990,A.R. Rahman,A.R. Rahman; Others,2.8660827,3.1267502
-BV8TPRfm64_clip,Kannum Kannumthan Song Thirupaachi Tamil Movie Vijay Trisha Harish Raghavendra P,I,2004,2000,A.R. Rahman,A.R. Rahman; Others,2.9098155,3.9424562
-PdINQdBRKk_clip,Alai Payum Nenjile Machi Machi Aadhalal Kadhal Seiveer Yuvan Tamil Movie Video s,I,1991,1990,A.R. Rahman,A.R. Rahman; Others,2.2385542,4.3890095
-bygU7duPVI_clip,"Putta Bomma (Tamil) Video Song VaikundaPuram Movie Allu Arjun, Pooja Hegde Thama",I,2000,2000,A.R. Rahman,A.R. Rahman; Others,4.8983397,4.578024
-cUSV8MCOLY_clip,Yaan Aathangara Orathil Video Jiiva Harris Jayaraj Super Hit Tamil Song,I,2014,2010,A.R. Rahman,A.R. Rahman; Others,4.452164,5.952028
-jWAJtnunZs_clip,"Samar Azhagho Azhaghu Video Vishal, Trisha",I,2012,2010,A.R. Rahman,A.R. Rahman; Others,3.6044362,5.2386036
-jgsZO-iOfA_clip,Pattatthu Yaanai Enna Oru Enna Oru Video Vishal SS Thaman,I,2013,2010,A.R. Rahman,A.R. Rahman; Others,2.8341115,4.151753
-jqkWhRk-NI_clip,Unnaithane,Nallavanukku Nallavan,1984,1980,Ilaiyaraaja,S.P. Balasubrahmanyam,1.2183719,2.7404833
-pTaqX8CIpE_clip,Thaen Thaen Thaen 4K Video Song தேன் தேன் Kuruvi Vijay Trisha Vidyasagar Ayngara,I,2000,2000,A.R. Rahman,A.R. Rahman; Others,1.4008931,4.9861627
05VpS1L5_hc_clip,Maryan Sonapareeya Tamil Lyric A.R. Rahman Dhanush,Maryan,2013,2010,A.R. Rahman,Jey; Others,3.897468,4.6969385
06PX4-d4hXU_clip,Nilave Nilave 4K Video Song Nilaave Vaa Tamil Movie Songs Thalapathy Vijay Old S,I,1998,1990,A.R. Rahman,A.R. Rahman; Others,1.7183332,2.9893785
0LjE_FUVP2I_clip,"Karna Aye Shebha Video Arjun, Ranjitha Vidyasagar",I,1994,1990,A.R. Rahman,A.R. Rahman; Others,4.407047,4.5663214
0YyAjv4gnJE_clip,Thendral Katre Song Kumbakarai Thangaiah Movie Ilaiyaraaja Prabhu Kanaka S. Jana,Nallavanukku Nallavan,1991,1990,Ilaiyaraaja,S. Janaki,1.8724351,1.868804
0pQK4VpnVbE_clip,Muthal Mariyathai,Muthal Mariyathai,1975,1970,M.S. Viswanathan,T.M. Soundararajan,1.6611391,1.6743813
0s2vxoTRs5M_clip,Nepali Kanavilae Kanavilae Video Bharath Meera Srikanth Deva,I,2008,2000,A.R. Rahman,A.R. Rahman; Others,1.636736,5.219952
19CdwdItB3o_clip,"Osthe Neduvaali Tamil Video STR, Thaman",I,2010,2010,A.R. Rahman,A.R. Rahman; Others,5.080553,4.6617026
1D5o1tuq0yI_clip,Azhagooril 4k Official Video Thirumalai Vijay Jyothika Vidyasagar Raghuvaran SPB,I,2000,2000,A.R. Rahman,A.R. Rahman; Others,0.6284278,3.472127
1L0Q7JOF_bA_clip,Kuchi Kuchi Rakkamma Video Song Bombay Tamil Movie Arvind Swamy Manisha Koirala ,Bombay,1994,1990,A.R. Rahman,S.P. Balasubrahmanyam; K.S. Chithra,3.9601257,3.5314856
1fOOTVie9Ro_clip,Enthan Uyire Audio Song Unnaruge Naan Irundhal Romantic Song,I,1999,1990,A.R. Rahman,A.R. Rahman; Others,0.3073815,3.115382
1seR_ckLXz4_clip,Golden Sparrow Video Song Dhanush Priyanka Mohan Pavish Anikha GV Prakash #NEEK,I,2023,2020,A.R. Rahman,A.R. Rahman; Others,4.4371142,5.8806458
27yGAMGAXjE_clip,Pasumpon Thamarai Poovukum Official Video Song Vidyasagar,I,1995,1990,A.R. Rahman,A.R. Rahman; Others,2.6587381,2.9745364
2Cf3e_G_IkQ_clip,Naanga Naalu Peru Lyric Video Karuppu Suriya RJB @SaiAbhyankkar Silambarasan TR ,I,2026,2020,A.R. Rahman,A.R. Rahman; Others,5.6357856,4.8869467
2kx_07BzGZE_clip,Roja,Roja,1992,1990,A.R. Rahman,S. Janaki,2.0866904,3.344918
2m9esh3PG98_clip,"En Rojaa Neeye Video Song Kushi Vijay Deverakonda, Samantha Ruth Prabhu Hesham A",Roja,2023,2020,A.R. Rahman,S.P. Balasubrahmanyam; K.S. Chithra,1.5608507,5.3699813
2ogKpj5QuSY_clip,Vedalam Aaluma Doluma Video Ajith Anirudh Ravichander,I,2015,2010,A.R. Rahman,A.R. Rahman; Others,4.9940686,4.5886016
2qCpY38ompo_clip,Monica Lyric Video COOLIE Superstar Rajinikanth Sun Pictures Lokesh Anirudh Pooj,I,2025,2020,A.R. Rahman,A.R. Rahman; Others,4.7889404,4.899461
3KbWbT7P-Dw_clip,"Nannbenda Oorellaam Unnai Kandu Video Udhayanidhi Stalin, Nayanthara",Nallavanukku Nallavan,2014,2010,Ilaiyaraaja,S.P. Balasubrahmanyam,1.670599,4.3156934
3P0d5H5zmEI_clip,Anjali Anjali Video Song Duet Tamil Movie Songs Prabhu Ramesh Meenakshi Seshadri,I,1994,1990,A.R. Rahman,A.R. Rahman; Others,1.5664973,2.672003
3TaqJpWew60_clip,Maadhulang Kaniye Video Song Sami Potta Mudichu Tamil Movie Songs Murali Sindhu,I,1991,1990,A.R. Rahman,A.R. Rahman; Others,1.9067794,1.628861
3c3sV-A8vow_clip,"Viruman Kanja Poovu Kannala Video Karthi, Aditi Shankar Yuvan Shankar Raja Mutha",I,2022,2020,A.R. Rahman,A.R. Rahman; Others,4.616408,4.132265
3zJ6_zO4t3c_clip,Nayakan,Nayakan,1986,1980,Ilaiyaraaja,S. Janaki,3.2151802,2.52956
44L0_ZWR_cE_clip,Nandri Solla Unakku Video Song Maru Malarchi Tamil Movie Songs Mammootty Devayan,I,1997,1990,A.R. Rahman,A.R. Rahman; Others,1.7276759,2.340903
4Ly50edHjhY_clip,Etho Oru Paatu Video Song Unnidathil Ennai Koduthen Tamil Movie Songs Karthik Su,I,1998,1990,A.R. Rahman,A.R. Rahman; Others,0.48784226,2.9213035
4ReTfw5YeiY_clip,En Swasa Kaatre Tamil Movie Chinna Chinna Video Song Arvind Swamy Isha Koppikar ,I,1994,1990,A.R. Rahman,A.R. Rahman; Others,1.6673337,3.7339513
4Sx7p9M71L4_clip,Mudhal Mudhalil Parthen Video Song Aahaa Tamil Movie Songs Rajiv Krishna Sulekha,I,1997,1990,A.R. Rahman,A.R. Rahman; Others,0.48046398,2.4813485
4um9usMjMm0_clip,Kuluvalilae 4K Video Song Superstar Rajinikanth A R Rahman Muthu Tamil Song Sun ,I,1995,1990,A.R. Rahman,A.R. Rahman; Others,3.199561,3.2841582
592mNGkpYig_clip,"Vaa Vaathi Full Video Song Vaathi Movie Dhanush, Samyuktha GV Prakash Kumar Venk",I,2000,2000,A.R. Rahman,A.R. Rahman; Others,2.074726,6.237203
5BZtZxh_w1M_clip,Nooraandukku Oru Murai Song With Lyrics Thayin Manikodi Vairamuthu Vidyasagar,I,1997,1990,A.R. Rahman,A.R. Rahman; Others,1.1790204,3.3647313
5CEXL8kfGL4_clip,Full Video: KANIMAA RETRO Suriya Karthik Subbaraj Pooja Hegde Santhosh Narayanan,I,2025,2020,A.R. Rahman,A.R. Rahman; Others,4.7077637,4.069712
5NEK2JSIHOs_clip,Muthu,Muthu,2000,2000,A.R. Rahman,S. Janaki,3.6534693,3.207652
5OkDuF5JPts_clip,"Un Perai Sonnale Song with Lyrics Dumm Dumm Dumm Unnikrishanan Hits Madhavan, Jy",I,2001,2000,A.R. Rahman,A.R. Rahman; Others,2.1542783,4.7907186
5_Q9NaBq1RE_clip,"Varuthapadatha Vaalibar Sangam Oodhaa Kalaru Video Song Sivakarthikeyan, Sridivy",I,2013,2010,A.R. Rahman,A.R. Rahman; Others,2.6941519,3.2056782
68r6TsQLUbs_clip,"Masilamani Dora Dora Video Nakul, Sunaina D. Imman",I,2009,2000,A.R. Rahman,A.R. Rahman; Others,1.6139882,3.8044586
6cc5Xdcxxc8_clip,Thiruvilayadal,Thiruvilayadal,1965,1960,M.S. Viswanathan,T.M. Soundararajan,1.3247529,1.0743101
6l2qdxLlgVg_clip,Annai,Annai,1979,1970,Ilaiyaraaja,T.M. Soundararajan,1.3771266,1.9347463
6lphR5vPrnU_clip,"Avan Ivan Rasathi Tamil Video Yuvanshankar Raja Vishal, Arya",I,2011,2010,A.R. Rahman,A.R. Rahman; Others,3.6313374,4.594677
6o8pxa1PJ1g_clip,"Teddy 🧸 Nanbiye Video Song Arya, Sayyeshaa D. Imman Shakti Soundar Rajan",I,2021,2020,A.R. Rahman,A.R. Rahman; Others,0.57657546,5.636123
6xbpjETTegI_clip,"Kathal Website Ondru Lyrical Dheena Ajith, Laila Shankar Mahadevan, Harini, Timm",I,2001,2000,A.R. Rahman,A.R. Rahman; Others,2.0214298,5.354979
70s3fNJ5Fcs_clip,Thillana Mohanambal,Thillana Mohanambal,1950,1950,A.G.R.,T.M. Soundararajan,2.5938745,1.3844742
7CAAM_x-zJE_clip,Chandi Veeran Tamil Movie Alunguraen Kulunguraen Video Song Atharvaa Murali Tren,I,2015,2010,A.R. Rahman,A.R. Rahman; Others,2.2714374,4.673178
7G3SoRhAiKw_clip,Enna Azhagu Ethanai Azhagu Video Song Love Today Thalapathy Vijay Suvalakshmi Su,I,1996,1990,A.R. Rahman,A.R. Rahman; Others,2.0976434,3.3121016
7R6jzvwUkcc_clip,Azhagiya Asura (Lyric Video) Whistle Anitha Chandrasekar D. Imman Thamarai,I,2003,2000,A.R. Rahman,A.R. Rahman; Others,2.2220874,2.5468473
7aJNeIExVrQ_clip,"Railin Oligal Video Blue Star Ashok Selvan, Keerthi Govind Vasantha Jaya Kumar P",I,2023,2020,A.R. Rahman,A.R. Rahman; Others,0.50811,5.6821647
7fFFbFp8nOg_clip,"7 Aum Arivu Mun Andhi Video Suriya, Shruti Harris Jayaraj",I,2011,2010,A.R. Rahman,A.R. Rahman; Others,1.3330055,5.6839943
7hZtkrqDpOo_clip,Karna Hello Chellamma Video Arjun Vidyasagar,I,1994,1990,A.R. Rahman,A.R. Rahman; Others,3.7182002,4.9108253
7nIZ5hLru80_clip,Kaaviyathalaivan Yaarumilla Video Song A.R.Rahman Siddharth Vedhika,I,2014,2010,A.R. Rahman,A.R. Rahman; Others,1.1610388,4.0252275
7q659O5d9AM_clip,Pani Thulli Video Song Kanda Naal Mudhal Tamil Movie Prasanna Laila Yuvan Shanka,I,2005,2000,A.R. Rahman,A.R. Rahman; Others,1.3314738,5.2977734
7ydI06TnEJs_clip,"Sivappu Manjal Pachai Idhudhaan Video Song G.V.Prakash Kumar, Kashmira Sasi Sidd",I,2019,2010,A.R. Rahman,A.R. Rahman; Others,0.53239065,5.3306713
8--zzejtWoM_clip,"Ivan Vera Mathiri Lovulla Video Vikram Prabhu, Surabhi C. Sathya",I,2013,2010,A.R. Rahman,A.R. Rahman; Others,3.292819,4.3178315
8-p0x-FYDTk_clip,Raman Thediya Seethai Mazhai Nindra Video Vidyasagar,I,2008,2000,A.R. Rahman,A.R. Rahman; Others,0.054017738,4.221654
80DbzJ4RCPI_clip,Oru Kal Oru Kannadi Akila Akila Video Harris Jayaraj Udhayanidhi Stalin,I,2012,2010,A.R. Rahman,A.R. Rahman; Others,2.908462,5.1509356
88iypMO9H7g_clip,Petta,Petta,2019,2010,Anirudh,Anirudh,5.5810413,4.8873315
8DYW9uBZzLs_clip,Aasal Tamil Movie Yea Dushyantha Song Ajith Kumar Sameera Reddy Bhavana Bharathw,I,2005,2000,A.R. Rahman,A.R. Rahman; Others,2.4641733,4.946362
8IQXqcdhlLA_clip,"Ko Amali Thumali Video Jiiva, Karthika Harris",I,2011,2010,A.R. Rahman,A.R. Rahman; Others,2.2435791,4.19123
8SS_uM4Bn88_clip,Vijay Hit Songs Vijay & Shali Hits Tamil Melody Songs,I,1991,1990,A.R. Rahman,A.R. Rahman; Others,2.2404377,3.2547703
8T7WQrcyE9s_clip,Maan Karate Un Vizhigalil Video Anirudh Sivakarthikeyan,I,2014,2010,A.R. Rahman,A.R. Rahman; Others,0.61564064,5.8328414
8XHwrH9Br58_clip,Nee Thoongum Nearathil tamil Video Song Manasellam Srikanth Trisha Ilayaraja,I,2003,2000,A.R. Rahman,A.R. Rahman; Others,0.51415265,4.6682005
8YqwQ_eAmdk_clip,Kanmunne Ethanai Nilavu Song with Lyrics Dhanush Yuvan Shankar Raja Timmy Pa. Vi,I,2001,2000,A.R. Rahman,A.R. Rahman; Others,2.04082,5.425007
8eYG5QGZAZs_clip,Jawan,Jawan,2023,2020,Anirudh,Anirudh,1.9543709,6.13949
8fE3r0_NjiQ_clip,"Malargale Song Pudhukottaiyilirundhu Saravanan Dhanush, Yuvan Shankar Raja",I,2004,2000,A.R. Rahman,A.R. Rahman; Others,1.5379263,3.246421
8kKReFhsTaY_clip,Jingunamani Song Jilla Tamil Songs Vijay Mohanlal Kajal Aggarwal Imman Star Musi,I,2013,2010,A.R. Rahman,A.R. Rahman; Others,3.224815,3.1730585
93cGwdghkvM_clip,Kulla Nari Kootam Vizhigalile Tamil Video Viishnu VIishal,I,2011,2010,A.R. Rahman,A.R. Rahman; Others,0.93113995,4.9532003
93iK4wNij8E_clip,Vaaranam Aayiram Mundhinam Video Song Harris Jayaraj Suriya Simran,I,2000,2000,A.R. Rahman,A.R. Rahman; Others,0.3675639,5.2787466
97o5LirQZMM_clip,Ninaithale Inikkum Pia.. Pia.. Video Vijay Antony,I,2009,2000,A.R. Rahman,A.R. Rahman; Others,3.7112782,3.3289673
9H4pjWE5TQ0_clip,Rosappu Chinna Rosappu (Sarath Kumar) Tamil Video Song Suryavamsam,I,1997,1990,A.R. Rahman,A.R. Rahman; Others,2.6315072,3.1396291
9hbe7-E8xqI_clip,கோ என்னமோ ஏதோ தமிழ் பாடல்வரிகள் ஜீவா,,2010,2010,,,0.9437761,5.236785
9iX4HQeW1aM_clip,Anegan Roja Kadale Video Dhanush Harris Jayaraj,Roja,2014,2010,A.R. Rahman,S.P. Balasubrahmanyam; K.S. Chithra,2.5406682,3.7159028
9xnBPs7nPek_clip,July Malargale 4K Video Song ஜூலை மலர்களே Bagavathi Vijay Reema Sen Deva,I,2002,2000,A.R. Rahman,A.R. Rahman; Others,2.1711369,4.2074065
A0BPkm95-dc_clip,Subramaniapuram Kangal Irandal Video James Jai,I,2007,2000,A.R. Rahman,A.R. Rahman; Others,-0.0686313,4.543836
ABUOwTuuW94_clip,"Mehandi Circus Kodi Aruvi Video Song Sean Roldan Ranga, Shweta Tripathi Saravana",I,2019,2010,A.R. Rahman,A.R. Rahman; Others,2.554454,4.3338013
