Sl No,District,Stage Carriages - Public,Stage Carriages - Private,Mini-buses,Autorickshaws,Ordinary Taxis,Motorcabs - State Permit,Motor cabs - All India Permit,Maxi cabs - State Permit,Maxi cabs - All India Permit,Omni Buses - State Permit,Omni Buses - All India Permit,PSV,School bus,College Bus,Ambulance,Fire fighter,LCV,Lorries,Articulated Vehicles (AVs),National Permit Lorries,National Permit Avs,Tractors and Trailers,Total Commercial Vehicles
,State Transport Authority,,,,,,,,,,473,50,,,,,,,,,,,,523
1,Chennai,4514,4,0,92335,128,17601,3880,8837,1414,98,26,280,550,164,1613,98,29445,23829,4569,8777,4257,905,203324
2,Kancheepuram,637,105,35,3304,0,1060,8,1663,2,36,0,3027,576,0,232,182,1156,4352,2229,245,2062,2478,23389
3,Thiruvallur,178,339,0,11922,51,6280,5083,6727,2175,60,0,824,700,999,2077,42,10536,28113,1078,4727,999,1932,84842
4,Cuddalore,498,493,112,6893,0,2933,93,3538,47,0,0,55,1129,153,407,42,4808,9967,102,1860,163,2772,36065
5,Villupuram,589,299,53,5340,38,2706,3,1530,11,12,3,24,590,0,191,62,3988,8590,480,1933,45,5832,32319
6,Vellore,781,307,50,12083,16,1104,33,1223,7,1,0,244,1025,81,379,21,3347,4166,1670,3206,712,2687,33143
7,Thiruvannamalai,471,393,91,3747,0,1672,59,930,61,0,12,479,870,325,175,10,6734,3197,25,700,56,1577,21584
8,Salem,925,444,147,4721,43,1862,73,1672,64,124,5,160,1506,410,488,48,4212,19332,1245,20734,1749,3087,63051
9,Namakkal,254,334,45,1012,0,2450,67,1549,8,0,2,496,1126,1020,283,203,8896,23186,3081,12329,9204,3024,68569
10,Dharmapuri,381,236,49,2444,0,660,65,480,18,0,0,12,1426,151,125,18,3566,5042,654,3014,1366,1303,21010
11,Krishnagiri,484,151,33,2988,0,427,235,468,46,21,0,531,1295,0,456,4,3764,4221,59,2476,158,1735,19552
12,Erode,551,359,107,2749,0,2259,28,1675,6,8,0,403,719,459,378,53,13491,6897,694,2778,631,3479,37724
13,Coimbatore,1395,513,111,16269,0,10548,646,4607,754,130,0,637,1781,318,899,166,14104,31698,770,5634,615,3650,95245
14,Tiruppur,504,199,78,2483,0,1889,19,1238,19,15,0,1037,598,0,279,8,11944,12027,2,3950,12,937,37238
15,The Nilgiris,324,0,97,2229,0,2182,28,922,18,0,0,21,170,0,193,23,2290,367,0,474,0,514,9852
16,Tiruchirappalli,802,490,153,7016,0,2571,52,2639,7,48,5,96,853,388,527,59,3345,15271,233,2165,228,4140,41088
17,Karur,141,131,97,986,0,524,0,517,0,28,2,244,352,174,167,51,1517,6197,102,2028,12,1506,14776
18,Perambalur,68,73,65,444,0,582,31,534,23,7,0,18,366,291,82,6,116,2306,0,587,0,4211,9810
19,Ariyalur,149,36,37,533,0,598,0,786,0,0,0,14,181,0,44,3,19,6056,0,652,0,209,9317
20,Pudukkottai,420,185,22,2039,0,913,3,764,0,0,4,33,227,0,164,21,3477,2312,203,192,77,1661,12717
21,Thanjavur,746,341,164,8714,1172,2192,60,2606,80,59,2,60,718,0,265,28,925,5776,465,3377,235,2299,30284
22,Nagapattinam,71,35,22,1568,0,1080,0,805,165,4,0,2,245,0,98,131,2600,3917,15,218,10,1993,12979
23,Thiruvarur,217,114,51,2056,0,756,2,1176,1,0,0,1,284,0,92,1,1580,487,0,67,0,597,7482
24,Madurai,1216,196,189,13605,0,3461,21,2967,4,65,9,268,761,113,445,64,8360,10631,431,1135,77,3299,47317
25,Theni,240,131,84,7316,0,1317,59,1770,21,25,0,169,628,120,92,12,3922,1471,8,1206,0,2091,20682
26,Dindigul,411,366,108,4763,0,1878,0,2886,0,5,0,114,854,463,254,19,4062,10986,3268,3383,1294,2320,37434
27,Ramanathapuram,366,80,36,8556,0,1630,13,2108,2,1,0,3,734,0,154,123,2033,4039,82,139,0,2376,22475
28,Virudhunagar,432,285,122,4160,0,2585,11,3245,20,14,0,1699,1106,53,183,24,7540,9815,114,1334,0,3307,36049
29,Sivagangai,338,149,51,1759,0,1412,12,813,0,0,0,607,593,192,124,17,2383,8756,115,243,122,1148,18834
30,Tirunelveli,449,194,172,11151,18,3636,32,3448,0,11,0,246,934,292,277,57,4308,8374,41,549,36,3769,37994
31,Thoothukudi,232,167,120,7187,0,2513,0,2683,4,25,0,328,685,0,225,35,4707,5271,554,916,538,1567,27757
32,Kanyakumari,752,160,157,9335,0,3827,0,2296,0,0,0,112,459,402,366,49,3693,4035,421,468,531,1281,28344
33,Chengalpet,0,92,14,25086,491,9773,228,8365,358,45,30,1195,1351,665,1377,27,1820,24725,1020,1042,475,780,78959
34,Ranipet,0,116,13,4431,618,323,0,980,0,0,13,338,360,0,115,2,0,3372,699,1675,0,335,13390
35,Thenkasi,340,60,53,5251,0,974,0,1208,0,8,0,0,378,105,29,2,1656,1875,245,362,56,864,13466
36,Tirupathur,0,23,0,1398,0,21,0,138,0,0,0,4,56,0,4,0,603,1466,43,280,12,14,4062
37,Kallakurichi,131,97,57,2631,0,1460,6,622,3,0,0,5,701,181,83,2,3151,2052,89,529,83,1467,13350
38,Mayiladuthurai,120,67,62,2414,0,1463,8,1063,117,10,0,0,427,2,53,4,1864,1233,320,125,44,980,10376
,Grand Total,20127,7764,2857,302918,2575,101122,10858,81478,5455,1333,163,13786,27314,7521,13395,1717,185962,325407,25126,95509,25859,78126,1336372
