District,Stage Carriages - Public,Stage Carriages - Private,Mini-buses,Autorickshaws,Ordinary Taxis,Motorcabs - State Permit,Motor cabs - All India Permit,Maxi cabs - State Permit,Maxi cabs - All India Permit,Omni Buses - State Permit,Omni Buses - All India Permit,PSV,School bus,College Bus,Ambulance,Fire fighter,LCV,Lorries,Articulated Vehicles (AVs),National Permit Lorries,National Permit Avs,Tractors and Trailers,Total Commercial Vehicles
O/o State Transport Authority,,,,,,,,,,569,65,,,,,,,,,,,,634
Chennai,4853,8,0,106814,555,30501,5891,16688,2768,115,47,1548,2046,610,2264,116,39114,34591,3155,7858,2617,1663,263822
Kancheepuram,657,111,47,3230,53,1611,13,1629,1,60,0,2419,431,378,206,181,1289,4273,208,651,110,2474,20032
Thiruvallur,181,142,50,13515,57,5775,5276,6305,2246,43,0,698,1149,817,1357,41,10428,18935,600,5186,405,1909,75115
Cuddalore,617,399,123,5766,0,2573,114,2894,53,0,0,45,875,85,383,42,3771,5831,14,1598,36,2770,27989
Villupuram,568,300,95,6053,39,3328,124,1713,38,5,0,20,695,0,182,62,1602,10417,1,1898,44,5830,33014
Vellore,781,315,52,11753,15,949,40,1129,7,1,0,226,989,81,349,21,3306,3886,8,3098,38,2686,29730
Thiruvannamalai,297,352,136,3110,2,1390,64,802,56,0,11,276,723,333,164,10,4866,2131,21,1073,25,1577,17419
Salem,634,507,208,5848,3,1832,178,2200,27,123,8,126,1193,529,463,48,7452,21170,431,19005,332,3087,65404
Namakkal,267,286,209,790,6,1989,69,1069,12,0,24,253,1076,1027,275,203,8506,18566,2118,13953,5840,3024,59562
Dharmapuri,394,284,55,2469,0,666,72,472,24,0,0,4,1048,0,121,16,3442,4538,5,4616,10,1303,19539
Krishnagiri,509,156,49,3381,0,393,484,559,46,13,0,268,1140,0,431,3,6798,2658,0,2147,0,1720,20755
Erode,517,530,183,3211,0,3753,75,2322,18,10,4,398,789,608,362,53,21092,11082,11,3262,28,3479,51787
Coimbatore,1452,505,193,14140,148,10564,398,6035,29,54,10,570,1950,489,825,166,16568,24686,150,6802,122,3648,89504
Tiruppur,562,216,105,2408,18,1729,19,1307,19,15,0,1099,623,46,263,8,12148,10793,42,1361,16,934,33731
The Nilgiris,356,0,114,5194,377,2631,400,816,105,2,0,36,200,0,181,23,3141,476,0,452,0,514,15018
Tiruchirappalli,922,508,250,10916,1318,5675,329,2698,159,52,0,256,697,577,491,54,7182,10947,184,2174,354,4140,49883
Karur,128,147,98,1191,0,473,60,740,6,13,0,286,519,165,164,51,2031,6667,51,2169,50,1503,16512
Perambalur,68,73,87,444,0,544,31,489,23,7,0,18,353,291,80,6,104,1936,0,545,0,4211,9310
Ariyalur,125,35,37,449,0,435,0,721,0,3,0,17,108,150,42,3,1350,1954,227,411,264,209,6540
Pudukkottai,359,209,39,2567,285,1144,3,1456,0,6,2,45,511,118,160,21,2558,4560,76,234,31,1661,16045
Thanjavur,515,337,196,8069,1171,1735,151,1850,86,58,2,40,604,0,247,28,5263,2299,4,418,5,2299,25377
Nagapattinam,71,35,24,1492,0,1087,0,821,165,10,0,2,233,0,96,131,2450,3693,15,218,10,1988,12541
Thiruvarur,188,99,84,2126,0,951,49,946,55,0,0,14,136,0,88,1,916,741,0,282,0,597,7273
Madurai,1882,199,228,14049,0,5054,95,3877,87,32,5,283,791,354,423,64,9199,9646,131,721,184,3296,50600
Theni,220,119,118,6416,0,1165,59,1682,21,21,0,146,865,103,90,12,5048,913,0,972,0,2091,20061
Dindigul,648,392,117,6590,52,2550,43,1625,19,10,0,229,497,37,241,19,6517,3810,66,916,224,2320,26922
Ramanathapuram,326,114,57,8226,8,1727,13,2322,2,1,0,3,598,15,148,123,2190,3924,82,156,23,2374,22432
Virudhunagar,434,303,203,5487,0,3220,13,3631,0,29,0,1746,1177,50,172,24,9016,10712,7913,1246,0,3288,48664
Sivagangai,293,141,55,3088,8,1741,7,1136,0,6,0,53,239,128,114,17,1487,1653,0,63,46,1148,11423
Tirunelveli,352,201,209,11382,60,4099,16,3601,0,12,0,358,1057,356,262,57,9941,4747,14,610,34,3768,41136
Thoothukudi,365,185,144,6560,12,2787,6,3129,1,26,0,267,572,150,210,34,4215,7235,247,917,240,1566,28868
Kanyakumari,843,0,242,9521,58,3946,0,2416,0,0,0,108,466,146,332,49,4518,2907,4,941,10,1281,27788
Chengalpet,0,63,31,5565,0,1844,38,1859,30,45,0,976,601,0,421,2,143,5343,0,552,0,17,17530
Ranipet,0,123,12,3789,64,458,176,828,76,3,2,167,401,213,106,2,410,7062,21,1574,69,330,15886
Thenkasi,291,65,67,2200,0,1436,0,1344,0,0,0,102,405,0,28,2,1371,2470,83,323,56,864,11107
Tirupathur,0,23,7,1407,0,18,0,151,0,0,0,5,49,0,2,0,529,1049,19,306,19,14,3598
kallakurichi,131,109,62,2575,21,1403,6,673,3,0,0,6,390,213,78,2,2393,1993,37,499,37,1467,12098
Mayiladuthurai,120,71,70,1441,0,1350,55,1134,117,10,0,0,361,2,50,4,1741,1302,42,139,28,975,9012
Grand Total,20926,7662,4056,303232,4330,114526,14367,85069,6299,1354,180,13113,26557,8071,11871,1699,224095,271596,15980,89346,11307,78025,1313661
