District,Motorcycles,Scooters,Mopeds,Tricycle Auto,Motor Cars,Jeeps,Station Wagon,Tractor,Three-wheelers,Four-wheelers,Road rollers,Others,Total Non-commercial vehicles
Chennai,3285587,911352,706431,2795,999053,9910,444,4797,9010,2587,234,12412,5944612
Kancheepuram,203993,21506,92717,152,28467,781,72,5442,720,170,9,2620,356649
Thiruvallur,1056378,191402,142541,16,162164,930,365,16245,680,537,65,5018,1576341
Cuddalore,440046,99939,179244,28,41907,1354,69,20822,2220,126,31,2453,788239
Villupuram,225675,33165,98602,18,13013,900,82,16755,586,374,192,3237,392599
Vellore,445470,71138,172374,97,41677,1185,146,8864,229,185,49,2072,743486
Thiruvannamalai,381752,27060,139100,18,25758,603,12,26390,1374,81,11,3974,606133
Salem,677861,222379,381685,67,105680,2327,154,17227,3337,1468,110,6791,1419086
Namakkal,380761,118401,296995,33,55216,1758,48,12294,3077,275,380,3705,872943
Dharmapuri,255122,49199,157091,28,18252,501,22,10938,1104,1003,66,2021,495347
Krishnagiri,371485,76752,110719,0,35762,38,0,9454,417,74,2,1512,606215
Erode,469959,189191,307436,60,85471,1649,126,15995,2971,564,81,2237,1075740
Coimbatore,1548156,433188,521142,259,403808,7529,381,20939,11474,1085,62,4582,2952605
Tiruppur,453140,179535,227088,91,108466,1521,31,4241,3739,866,25,1105,979848
The Nilgiris,62442,9451,2652,23,30284,4697,249,1637,379,174,11,592,112591
Tiruchirappalli,557934,128387,256297,128,107982,1182,93,11593,3891,2339,199,3169,1073194
Karur,195374,54285,131527,14,30667,590,24,6367,1098,356,23,943,421268
Perambalur,121351,7122,47866,13,8058,17,0,4608,1042,18,0,645,190740
Ariyalur,100229,9284,28243,0,5996,2,0,4191,4,0,1,512,148462
Pudukkottai,312560,50369,107200,24,21792,264,29,12356,600,480,27,1819,507520
Thanjavur,444890,96094,186521,8,48411,812,77,16126,493,239,39,2177,795887
Nagapattinam,105852,20993,67641,21,7184,209,5,3790,547,333,118,671,207364
Thiruvarur,183384,42028,75279,18,14710,28,1,8585,1181,260,0,1585,327059
Madurai,886150,65435,144029,81,96573,1210,89,9853,3500,1594,149,3047,1211710
Theni,195719,16684,75924,36,19289,554,77,7116,43,53,44,1232,316771
Dindigul,300910,56245,148823,44,34482,704,21,9667,1353,96,40,1305,553690
Ramanathapuram,233667,33128,57589,10,19947,497,3,8106,172,20,10,1283,354432
Virudhunagar,435845,46703,140419,20,37465,701,53,7067,1890,272,49,1522,672006
Sivagangai,275048,73223,94176,54,25705,343,24,7292,114,81,10,1567,477637
Tirunelveli,461167,49952,89301,92,55733,901,116,10655,1606,322,40,2407,672292
Thoothukudi,359505,40536,101320,37,43853,1203,110,6448,594,250,29,2082,555967
Kanyakumari,433662,127860,58758,43,61912,754,43,2825,1760,657,26,1806,690106
Chengalpet,280767,21692,58288,0,43920,19,0,9048,23,0,1,1414,415172
Ranipet,226158,36150,35078,0,20204,54,0,8968,55,16,4,979,327666
Thenkasi,187091,23582,33624,30,13188,375,48,5403,1284,582,136,1195,266538
Tirupathur,59723,9509,9042,0,3498,1,0,907,2,0,3,184,82869
kallakurichi,164400,23816,28364,0,6367,95,0,9834,531,0,247,876,234530
Mayiladuthurai,128849,24823,34367,0,11030,34,1,6408,5,0,12,312,205841
Grand Total,16908062,3691558,5545493,4358,2892944,46232,3015,369253,63105,17537,2535,87063,29631155
