Type of Vehicle,Category of Vehicle,2008-2009,2009-2010,2010-2011,2011-2012,2012-2013,2013-2014,2014-2015,2015-2016,2016-2017,2017-2018,2018-2019,2019-2020,2020-2021
Transport,AMBULANCE,663,412,421,407,604,642,686,481,928,599,214,604,809
Transport,AUTO,12547,23140,52923,10377,17092,19459,22572,20444,26630,27286,38429,40909,7395
Transport,MOTOR CAB,11940,13731,21560,21769,15754,12510,11275,16218,21393,17376,16433,13397,2677
Transport,MAXI CAB,6478,7163,12176,12811,13329,10050,8090,8275,9367,4211,3834,3103,115
Transport,OMNIBUS,179,214,354,288,398,151,66,174,282,130,103,41,16
Transport,LMV OMNI BUS,846,704,826,483,141,83,192,61,45,23,59,96,0
Transport,SCHOOL BUS,1936,2649,3373,3547,4996,3992,3235,3298,3533,3405,3581,3670,151
Transport,PSV,1403,1442,1900,1834,1945,1723,1265,1469,1865,1468,1544,1703,646
Transport,NCP,18957,13872,10366,7807,5013,20822,20871,21313,25188,29191,52429,62916,23191
Transport,LMV G.VECLE,7479,18588,30696,42799,50361,12546,2957,3352,5446,7373,9821,2701,21065
Transport,MMV  G.VECLE,4846,5388,8493,8790,5409,3297,2915,3577,4469,4567,2389,0,0
Transport,HMV G.VEHICLE,10117,6657,10173,12472,10020,6912,11073,13523,10668,10884,6463,0,0
Transport,ARTICU. VEHICLE,2517,3706,9233,11284,8918,3688,4713,5359,3961,3193,4572,3638,643
Transport,STAGE CARRIAGE,3678,3781,3907,2687,3981,2033,1092,1853,1403,756,2382,5461,29
Transport,MINI BUS,63,126,107,118,154,165,40,165,41,14,0,0,0
Transport,POWER TRILLER,44,31,7,3,8,10,15,5,5,19,5,0,0
Transport,FIRE FIGHTER,6,9,4,5,4,20,29,6,5,4,25,19,0
Transport,TRACTOR,2279,1084,675,710,616,364,273,341,294,222,145,18,15
Transport,TRAILOR,919,481,353,390,553,290,219,176,164,118,78,5,1
Transport,TOTAL,86897,103178,167547,138581,139287,98757,91578,100090,115687,110839,142506,138281,56753
Non-Transport,MOTOR CYCLE,577484,683649,897025,1050002,1036235,929844,917576,905038,1074046,1035625,1392290,1393041,1123674
Non-Transport,SCOOTER,45033,62602,112252,135770,162885,199125,257964,308178,375415,451530,252880,82937,32273
Non-Transport,Moped,154247,186564,228463,266818,291325,235796,220847,195892,137206,111753,114845,96190,70782
Non-Transport,MOTOR CAR,95011,112925,146566,154013,164178,149371,154070,159940,183475,199065,196501,181401,156862
Non-Transport,JEEP,382,210,663,638,601,390,327,429,197,182,67,0,0
Non-Transport,STATION WAGON,43,0,0,0,28,22,16,35,72,24,0,0,0
Non-Transport,TRICYCLE AUTO,71,0,0,0,1,0,1,3,0,1,4,0,0
Non-Transport,3 WHEELER,1650,1074,459,484,262,196,52,10,79,202,392,207,119
Non-Transport,4 WHEELERS,1061,778,385,377,71,48,0,1,4,104,0,0,
Non-Transport,ROAD ROLLERS,88,81,168,115,15,14,50,56,100,123,40,23,16
Non-Transport,TRACTORS,11471,12603,16634,19604,18527,13303,7894,10289,14218,17423,22831,23409,28461
Non-Transport,TRAILORS,3523,4085,4009,5134,3739,2095,1189,1295,1361,688,101,169,153
Non-Transport,OTHERS,3450,2787,2541,2467,3929,2640,3443,3423,3758,5873,10323,9269,8607
Non-Transport,TOTAL  (Non,893514,1067358,1409165,1635422,1681526,1532844,1563429,1584589,1789931,1822593,1990274,1786646,1420947
,Grand Total,980411,1170536,1576712,1774003,1820813,1631601,1655007,1684679,1905618,1933432,2132780,1924967,1477700
