District,Motorcycles,Scooters,Mopeds,Tricycle Auto,Motor Cars,Jeeps,Station Wagon,Tractor,Three-wheelers,Four-wheelers,Road rollers,Others,Total Non-commercial vehicles,
Chennai,2615023,766180,555189,0,852080,8856,359,1495,11287,0,161,13366,4823996,5027320
Kancheepuram,236292,21809,93053,0,33925,781,72,6430,876,0,9,3109,396356,419745
Thiruvallur,1202368,211506,144693,0,195268,930,365,18492,734,0,65,6989,1781410,1866252
Cuddalore,504856,99993,184713,0,49699,1354,69,23505,2251,0,31,2892,869363,905428
Villupuram,262089,33195,99419,0,15742,900,82,19746,610,0,192,4109,436084,468403
Vellore,496850,71190,175679,0,48387,1185,146,10068,329,0,52,2460,806346,839489
Thiruvannamalai,437429,27117,141486,0,29960,603,12,30315,1402,0,11,4987,673322,694906
Salem,785643,222741,386920,0,123188,2327,154,19481,3405,0,110,7736,1551705,1614756
Namakkal,434487,118491,299847,0,64006,1758,48,13749,3112,0,381,4119,939998,1008567
Dharmapuri,295229,49994,161604,0,23249,501,22,13075,1132,0,66,2442,547314,568324
Krishnagiri,431618,76848,116921,0,43797,38,0,11414,419,0,2,2002,683059,702611
Erode,530834,189502,314172,0,97908,1649,126,17246,3031,0,81,2691,1157240,1194964
Coimbatore,1730637,435543,532927,0,456259,7529,381,23359,11743,0,63,5606,3204047,3299292
Tiruppur,520781,179646,233291,0,122964,1521,31,4706,3831,0,25,1447,1068243,1105481
The Nilgiris,71459,10474,2676,0,35817,4697,249,1873,402,0,11,718,128376,138228
Tiruchirappalli,636406,128529,261316,0,123828,1182,93,13737,4034,0,199,3908,1173232,1214320
Karur,221652,54302,134725,0,35806,590,24,7155,1112,0,23,1233,456622,471398
Perambalur,137434,7129,48226,0,9794,17,0,5830,1055,0,0,828,210313,220123
Ariyalur,119153,9290,31262,0,7681,,0,5374,4,0,1,682,173449,182766
Pudukkottai,360764,50372,112022,0,27042,264,29,14299,629,0,27,2289,567737,580454
Thanjavur,519614,96125,193412,0,57586,812,77,19041,505,0,39,2610,889821,920105
Nagapattinam,123048,21003,69186,0,8865,209,5,4397,572,0,118,792,228195,241174
Thiruvarur,216642,42039,78884,0,17685,28,1,10020,1200,0,0,1813,368312,375794
Madurai,1002675,65485,145067,0,116567,1210,89,11516,3607,0,149,3695,1350060,1397377
Theni,222376,16691,78470,0,23132,554,77,8075,79,0,44,1498,350996,371678
Dindigul,349555,56270,151787,0,41236,704,21,11560,1401,0,40,1841,614415,651849
Ramanathapuram,281681,33175,57698,0,23780,497,3,9450,190,0,10,1573,408057,430532
Virudhunagar,497810,46764,141832,0,44611,701,53,8452,1929,0,49,1901,744102,780151
Sivagangai,322046,73224,96131,0,31262,343,24,8296,172,0,10,1985,533493,552327
Tirunelveli,522589,50079,93479,0,65599,901,116,12032,1708,0,40,2920,749463,787457
Thoothukudi,411624,40693,106166,0,51537,1203,110,7498,641,0,29,2570,622071,649828
Kanyakumari,491841,127874,59641,0,74260,754,43,3006,1824,0,26,2014,761283,789627
Chengalpet,1333530,215385,213950,0,321557,1073,85,13919,715,0,74,4233,2104521,2183480
Ranipet,255725,36236,36668,0,23616,54,0,10169,56,0,4,1440,363968,377358
Thenkasi,209696,23611,35235,0,16090,375,48,6065,1322,0,136,1342,293920,307386
Tirupathur,74026,9511,10406,0,4849,,0,1203,3,0,3,313,100315,104377
kallakurichi,194343,23887,29802,0,8188,95,0,11569,532,0,247,1531,270194,283544
Mayiladuthurai,152219,24853,36479,0,13046,34,1,7200,5,0,12,448,234297,244673
Grand Total,19212044,3766756,5664434,0,3339866,46232,3015,424817,67859,0,2540,108132,32635695,33972067
