Category,Type of Vehicles,31.03.2001,31.03.2002,31.03.2003,31.03.2004,31.03.2005,31.03.2006,31.03.2007,31.03.2008,31.03.2009,31.03.2010,31.03.2011,31.03.2012,31.03.2013,31.03.2014,31.03.2015,31.03.2016,31.03.2017,31.03.2018,31.03.2019,31.03.2020,31.03.2021,31.03.2023
Transport - Stage Carriages,Public (Stu),16969,16843,16414,16994,17436,17635,17520,17897,18767,19307,19761,19625,22053,22501,22474,23078,22646,21835,21542,20944,20926,20127
Transport - Stage Carriages,Private,5705,6068,6345,6531,6271,6760,6841,6982,7183,7898,7929,7958,8061,7689,7927,7937,7861,7711,7584,7590,7662,7764
Transport - Stage Carriages,TOTAL,22674,22911,22759,23565,23707,24395,24361,24879,25950,27205,27690,27583,30114,30190,30401,31015,30507,29546,29126,28534,28588,27891
Transport - Stage Carriages,Mini bus,3693,4136,3903,3816,3869,4285,4035,4002,4041,4003,3989,4051,4125,4009,3980,3994,4218,4181,4062,4056,4056,2857
Transport - Contract Carriages,Autorickshaw,108090,111942,119719,119937,122832,133639,136986,146244,152072,160734,202133,209003,218329,223702,232112,237970,251056,260696,280964,297202,303232,302918
Transport - Contract Carriages,Ordinary Taxi,869,751,914,886,1223,1612,1676,2366,3593,5272,4257,3978,3751,4016,4081,4582,4403,4494,4300,4380,4330,2575
Transport - Contract Carriages,Motor Cab (SP),31200,32821,35363,36388,35922,42797,47804,57587,63278,72558,82677,93277,92887,99667,101862,107119,114082,107184,111658,114625,114526,101122
Transport - Contract Carriages,Motor Cab (AIP),4366,4464,4713,4655,4826,7051,7922,8937,9436,9674,11204,11760,11881,14562,14579,14260,10881,14496,14946,14839,14367,10858
Transport - Contract Carriages,Maxi Cab(SP),23740,25092,28010,24835,23043,24591,26158,33248,37655,42753,50630,59086,63683,71112,75442,77715,78285,80818,82612,84239,85069,81478
Transport - Contract Carriages,Maxi CAB (AIP),857,908,804,883,797,939,1108,1678,2329,2798,3609,4393,5208,7294,7531,7438,6561,6101,6204,6319,6299,5455
Transport - Contract Carriages,Omni Bus (SP),299,299,329,318,327,310,466,430,460,503,515,619,750,833,906,996,766,713,783,786,1354,1333
Transport - Contract Carriages,Omni Bus (AIP),151,151,147,143,151,153,144,130,161,156,171,159,163,151,201,184,166,168,110,115,180,163
